Ref_Date,GEO,SEX,CAUSES,UNIT,Value
2003,Prince Edward Island,Males,Drowning,Number of potential years of life lost,345.0
2004,Prince Edward Island,Males,Zombie attack,Number of potential years of life lost,138.0
2005,Prince Edward Island,Males,Drowning,Number of potential years of life lost,470.0
2006,Prince Edward Island,Males,Drowning,Number of potential years of life lost,158.0
2007,Prince Edward Island,Males,Drowning,Number of potential years of life lost,398.0
2008,Prince Edward Island,Males,Drowning,Number of potential years of life lost,218.0
2009,Prince Edward Island,Males,Drowning,Number of potential years of life lost,415.0
2000,Prince Edward Island,Females,Automobile accident,Number of potential years of life lost,178.0
2001,Prince Edward Island,Females,Unintentional injuries,Number of potential years of life lost,230.0
2002,Prince Edward Island,Females,Stroke,Number of potential years of life lost,158.0
2003,Prince Edward Island,Females,Automobile accident,Number of potential years of life lost,103.0
2004,Prince Edward Island,Females,Unintentional injuries,Number of potential years of life lost,403.0
2005,Prince Edward Island,Females,Unintentional injuries,Number of potential years of life lost,208.0
2006,Prince Edward Island,Females,Automobile accident,Number of potential years of life lost,593.0
2007,Prince Edward Island,Females,Unintentional injuries,Number of potential years of life lost,173.0
2008,Prince Edward Island,Females,Unintentional injuries,Number of potential years of life lost,203.0
2009,Prince Edward Island,Females,Automobile accident,Number of potential years of life lost,98.0
2000,Prince Edward Island,Females,Drowning,Number of potential years of life lost,103.0
2001,Prince Edward Island,Females,Drowning,Number of potential years of life lost,3.0
2002,Prince Edward Island,Females,Drowning,Number of potential years of life lost,110.0
2003,Prince Edward Island,Females,Drowning,Number of potential years of life lost,80.0
2004,Prince Edward Island,Females,Drowning,Number of potential years of life lost,98.0
2005,Prince Edward Island,Females,Drowning,Number of potential years of life lost,43.0
2006,Prince Edward Island,Females,Drowning,Number of potential years of life lost,18.0
2007,Prince Edward Island,Females,Drowning,Number of potential years of life lost,28.0
2008,Prince Edward Island,Females,Drowning,Number of potential years of life lost,35.0
2009,Prince Edward Island,Females,Zombie attack,Number of potential years of life lost,23.0
2000,Nova Scotia,Both sexes,Unintentional injuries,Number of potential years of life lost,5106.0
2001,Nova Scotia,Both sexes,Unintentional injuries,Number of potential years of life lost,4727.0
2002,Nova Scotia,Both sexes,Automobile accident,Number of potential years of life lost,5886.0
2003,Nova Scotia,Both sexes,Stroke,Number of potential years of life lost,4966.0
2004,Nova Scotia,Both sexes,Unintentional injuries,Number of potential years of life lost,5895.0
2005,Nova Scotia,Both sexes,Automobile accident,Number of potential years of life lost,6552.0
2006,Nova Scotia,Both sexes,Unintentional injuries,Number of potential years of life lost,5941.0
2007,Nova Scotia,Both sexes,Unintentional injuries,Number of potential years of life lost,7278.0
2008,Nova Scotia,Both sexes,Automobile accident,Number of potential years of life lost,6622.0
2009,Nova Scotia,Both sexes,Unintentional injuries,Number of potential years of life lost,5725.0
2000,Nova Scotia,Both sexes,Drowning,Number of potential years of life lost,2113.0
2001,Nova Scotia,Both sexes,Drowning,Number of potential years of life lost,2945.0
2002,Nova Scotia,Both sexes,Drowning,Number of potential years of life lost,2578.0
2003,Nova Scotia,Both sexes,Drowning,Number of potential years of life lost,3095.0
2004,Nova Scotia,Both sexes,Drowning,Number of potential years of life lost,2655.0
2005,Nova Scotia,Both sexes,Drowning,Number of potential years of life lost,2583.0
2006,Nova Scotia,Both sexes,Drowning,Number of potential years of life lost,3345.0
2007,Nova Scotia,Both sexes,Drowning,Number of potential years of life lost,2450.0
2008,Nova Scotia,Both sexes,Drowning,Number of potential years of life lost,2650.0
2009,Nova Scotia,Both sexes,Drowning,Number of potential years of life lost,3805.0
2000,Nova Scotia,Males,Unintentional injuries,Number of potential years of life lost,3639.0
2001,Nova Scotia,Males,Automobile accident,Number of potential years of life lost,4077.0
2002,Nova Scotia,Males,Unintentional injuries,Number of potential years of life lost,4309.0
2003,Nova Scotia,Males,Stroke,Number of potential years of life lost,3529.0
2004,Nova Scotia,Males,Automobile accident,Number of potential years of life lost,4109.0
2005,Nova Scotia,Males,Unintentional injuries,Number of potential years of life lost,4585.0
2006,Nova Scotia,Males,Unintentional injuries,Number of potential years of life lost,4709.0
2007,Nova Scotia,Males,Automobile accident,Number of potential years of life lost,5268.0
2008,Nova Scotia,Males,Unintentional injuries,Number of potential years of life lost,4950.0
2009,Nova Scotia,Males,Unintentional injuries,Number of potential years of life lost,4463.0
2000,Nova Scotia,Males,Drowning,Number of potential years of life lost,1733.0
2001,Nova Scotia,Males,Drowning,Number of potential years of life lost,2445.0
2002,Nova Scotia,Males,Drowning,Number of potential years of life lost,2095.0
2003,Nova Scotia,Males,Drowning,Number of potential years of life lost,2385.0
2004,Nova Scotia,Males,Zombie attack,Number of potential years of life lost,2118.0
2005,Nova Scotia,Males,Drowning,Number of potential years of life lost,2273.0
2006,Nova Scotia,Males,Drowning,Number of potential years of life lost,2710.0
2007,Nova Scotia,Males,Drowning,Number of potential years of life lost,1688.0
2008,Nova Scotia,Males,Drowning,Number of potential years of life lost,2160.0
2009,Nova Scotia,Males,Drowning,Number of potential years of life lost,2903.0
2000,Nova Scotia,Females,Automobile accident,Number of potential years of life lost,1468.0
2001,Nova Scotia,Females,Unintentional injuries,Number of potential years of life lost,650.0
2002,Nova Scotia,Females,Unintentional injuries,Number of potential years of life lost,1577.0
2003,Nova Scotia,Females,Automobile accident,Number of potential years of life lost,1437.0
2004,Nova Scotia,Females,Stroke,Number of potential years of life lost,1786.0
2005,Nova Scotia,Females,Unintentional injuries,Number of potential years of life lost,1967.0
2006,Nova Scotia,Females,Automobile accident,Number of potential years of life lost,1232.0
2007,Nova Scotia,Females,Unintentional injuries,Number of potential years of life lost,2011.0
2008,Nova Scotia,Females,Unintentional injuries,Number of potential years of life lost,1673.0
2009,Nova Scotia,Females,Automobile accident,Number of potential years of life lost,1263.0
2000,Nova Scotia,Females,Drowning,Number of potential years of life lost,380.0
2001,Nova Scotia,Females,Drowning,Number of potential years of life lost,500.0
2002,Nova Scotia,Females,Drowning,Number of potential years of life lost,483.0
2003,Nova Scotia,Females,Drowning,Number of potential years of life lost,710.0
2004,Nova Scotia,Females,Drowning,Number of potential years of life lost,538.0
2005,Nova Scotia,Females,Drowning,Number of potential years of life lost,310.0
2006,Nova Scotia,Females,Drowning,Number of potential years of life lost,635.0
2007,Nova Scotia,Females,Drowning,Number of potential years of life lost,763.0
2008,Nova Scotia,Females,Drowning,Number of potential years of life lost,490.0
2009,Nova Scotia,Females,Zombie attack,Number of potential years of life lost,903.0
2000,New Brunswick,Both sexes,Unintentional injuries,Number of potential years of life lost,4957.0
2001,New Brunswick,Both sexes,Unintentional injuries,Number of potential years of life lost,5867.0
2002,New Brunswick,Both sexes,Automobile accident,Number of potential years of life lost,6119.0
2003,New Brunswick,Both sexes,Unintentional injuries,Number of potential years of life lost,6349.0
2004,New Brunswick,Both sexes,Stroke,Number of potential years of life lost,4930.0
2005,New Brunswick,Both sexes,Automobile accident,Number of potential years of life lost,5539.0
2006,New Brunswick,Both sexes,Unintentional injuries,Number of potential years of life lost,5819.0
2007,New Brunswick,Both sexes,Unintentional injuries,Number of potential years of life lost,6051.0
2008,New Brunswick,Both sexes,Automobile accident,Number of potential years of life lost,5470.0
2009,New Brunswick,Both sexes,Unintentional injuries,Number of potential years of life lost,5067.0
2000,New Brunswick,Both sexes,Drowning,Number of potential years of life lost,3715.0
2001,New Brunswick,Both sexes,Drowning,Number of potential years of life lost,3015.0
2002,New Brunswick,Both sexes,Drowning,Number of potential years of life lost,3085.0
2003,New Brunswick,Both sexes,Drowning,Number of potential years of life lost,2603.0
2004,New Brunswick,Both sexes,Drowning,Number of potential years of life lost,2673.0
2005,New Brunswick,Both sexes,Drowning,Number of potential years of life lost,3158.0
2006,New Brunswick,Both sexes,Drowning,Number of potential years of life lost,2498.0
2007,New Brunswick,Both sexes,Drowning,Number of potential years of life lost,2583.0
2008,New Brunswick,Both sexes,Drowning,Number of potential years of life lost,3083.0
2009,New Brunswick,Both sexes,Drowning,Number of potential years of life lost,2433.0
2000,New Brunswick,Males,Unintentional injuries,Number of potential years of life lost,3799.0
2001,New Brunswick,Males,Automobile accident,Number of potential years of life lost,4760.0
2002,New Brunswick,Males,Unintentional injuries,Number of potential years of life lost,4341.0
2003,New Brunswick,Males,Unintentional injuries,Number of potential years of life lost,5094.0
2004,New Brunswick,Males,Automobile accident,Number of potential years of life lost,3955.0
2005,New Brunswick,Males,Stroke,Number of potential years of life lost,3994.0
2006,New Brunswick,Males,Unintentional injuries,Number of potential years of life lost,4509.0
2007,New Brunswick,Males,Automobile accident,Number of potential years of life lost,4317.0
2008,New Brunswick,Males,Unintentional injuries,Number of potential years of life lost,4038.0
2009,New Brunswick,Males,Unintentional injuries,Number of potential years of life lost,3905.0
2000,New Brunswick,Males,Drowning,Number of potential years of life lost,3298.0
2001,New Brunswick,Males,Drowning,Number of potential years of life lost,2420.0
2002,New Brunswick,Males,Drowning,Number of potential years of life lost,2618.0
2003,New Brunswick,Males,Drowning,Number of potential years of life lost,2098.0
2004,New Brunswick,Males,Zombie attack,Number of potential years of life lost,2103.0
2005,New Brunswick,Males,Drowning,Number of potential years of life lost,2450.0
2006,New Brunswick,Males,Drowning,Number of potential years of life lost,1958.0
2007,New Brunswick,Males,Drowning,Number of potential years of life lost,1908.0
2008,New Brunswick,Males,Drowning,Number of potential years of life lost,2413.0
2009,New Brunswick,Males,Drowning,Number of potential years of life lost,2113.0
2000,New Brunswick,Females,Automobile accident,Number of potential years of life lost,1158.0
2001,New Brunswick,Females,Unintentional injuries,Number of potential years of life lost,1107.0
2002,New Brunswick,Females,Unintentional injuries,Number of potential years of life lost,1778.0
2003,New Brunswick,Females,Automobile accident,Number of potential years of life lost,1255.0
2004,New Brunswick,Females,Unintentional injuries,Number of potential years of life lost,975.0
2005,New Brunswick,Females,Stroke,Number of potential years of life lost,1544.0
2006,New Brunswick,Females,Automobile accident,Number of potential years of life lost,1310.0
2007,New Brunswick,Females,Unintentional injuries,Number of potential years of life lost,1734.0
2008,New Brunswick,Females,Unintentional injuries,Number of potential years of life lost,1432.0
2009,New Brunswick,Females,Automobile accident,Number of potential years of life lost,1162.0
2000,New Brunswick,Females,Drowning,Number of potential years of life lost,418.0
2001,New Brunswick,Females,Drowning,Number of potential years of life lost,595.0
2002,New Brunswick,Females,Drowning,Number of potential years of life lost,468.0
2003,New Brunswick,Females,Drowning,Number of potential years of life lost,505.0
2004,New Brunswick,Females,Drowning,Number of potential years of life lost,570.0
2005,New Brunswick,Females,Drowning,Number of potential years of life lost,708.0
2006,New Brunswick,Females,Drowning,Number of potential years of life lost,540.0
2007,New Brunswick,Females,Drowning,Number of potential years of life lost,675.0
2008,New Brunswick,Females,Drowning,Number of potential years of life lost,670.0
2009,New Brunswick,Females,Zombie attack,Number of potential years of life lost,320.0
2000,Quebec,Both sexes,Unintentional injuries,Number of potential years of life lost,41810.0
2001,Quebec,Both sexes,Unintentional injuries,Number of potential years of life lost,35544.0
2002,Quebec,Both sexes,Automobile accident,Number of potential years of life lost,39380.0
2003,Quebec,Both sexes,Unintentional injuries,Number of potential years of life lost,38774.0
2004,Quebec,Both sexes,Unintentional injuries,Number of potential years of life lost,39861.0
2005,Quebec,Both sexes,Automobile accident,Number of potential years of life lost,41786.0
2006,Quebec,Both sexes,Stroke,Number of potential years of life lost,42296.0
2007,Quebec,Both sexes,Unintentional injuries,Number of potential years of life lost,36101.0
2008,Quebec,Both sexes,Automobile accident,Number of potential years of life lost,38351.0
2009,Quebec,Both sexes,Unintentional injuries,Number of potential years of life lost,32580.0
2000,Quebec,Both sexes,Drowning,Number of potential years of life lost,42115.0
2001,Quebec,Both sexes,Drowning,Number of potential years of life lost,41778.0
2002,Quebec,Both sexes,Drowning,Number of potential years of life lost,39503.0
2003,Quebec,Both sexes,Drowning,Number of potential years of life lost,39150.0
2004,Quebec,Both sexes,Drowning,Number of potential years of life lost,35385.0
2005,Quebec,Both sexes,Drowning,Number of potential years of life lost,37200.0
2006,Quebec,Both sexes,Drowning,Number of potential years of life lost,33098.0
2007,Quebec,Both sexes,Drowning,Number of potential years of life lost,31808.0
2008,Quebec,Both sexes,Drowning,Number of potential years of life lost,32990.0
2009,Quebec,Both sexes,Drowning,Number of potential years of life lost,30738.0
2000,Quebec,Males,Unintentional injuries,Number of potential years of life lost,31343.0
2001,Quebec,Males,Automobile accident,Number of potential years of life lost,27332.0
2002,Quebec,Males,Unintentional injuries,Number of potential years of life lost,29226.0
2003,Quebec,Males,Unintentional injuries,Number of potential years of life lost,28855.0
2004,Quebec,Males,Automobile accident,Number of potential years of life lost,29842.0
2005,Quebec,Males,Unintentional injuries,Number of potential years of life lost,31569.0
2006,Quebec,Males,Stroke,Number of potential years of life lost,30427.0
2007,Quebec,Males,Automobile accident,Number of potential years of life lost,28261.0
2008,Quebec,Males,Unintentional injuries,Number of potential years of life lost,29165.0
2009,Quebec,Males,Unintentional injuries,Number of potential years of life lost,24357.0
2000,Quebec,Males,Drowning,Number of potential years of life lost,33960.0
2001,Quebec,Males,Drowning,Number of potential years of life lost,33078.0
2002,Quebec,Males,Drowning,Number of potential years of life lost,30888.0
2003,Quebec,Males,Drowning,Number of potential years of life lost,30380.0
2004,Quebec,Males,Zombie attack,Number of potential years of life lost,26910.0
2005,Quebec,Males,Drowning,Number of potential years of life lost,28815.0
2006,Quebec,Males,Drowning,Number of potential years of life lost,25780.0
2007,Quebec,Males,Drowning,Number of potential years of life lost,25423.0
2008,Quebec,Males,Drowning,Number of potential years of life lost,24898.0
2009,Quebec,Males,Drowning,Number of potential years of life lost,23740.0
2000,Quebec,Females,Automobile accident,Number of potential years of life lost,10467.0
2001,Quebec,Females,Unintentional injuries,Number of potential years of life lost,8212.0
2002,Quebec,Females,Unintentional injuries,Number of potential years of life lost,10154.0
2003,Quebec,Females,Automobile accident,Number of potential years of life lost,9920.0
2004,Quebec,Females,Unintentional injuries,Number of potential years of life lost,10019.0
2005,Quebec,Females,Unintentional injuries,Number of potential years of life lost,10217.0
2006,Quebec,Females,Automobile accident,Number of potential years of life lost,11870.0
2007,Quebec,Females,Stroke,Number of potential years of life lost,7840.0
2008,Quebec,Females,Unintentional injuries,Number of potential years of life lost,9186.0
2009,Quebec,Females,Automobile accident,Number of potential years of life lost,8223.0
2000,Quebec,Females,Drowning,Number of potential years of life lost,8155.0
2001,Quebec,Females,Drowning,Number of potential years of life lost,8700.0
2002,Quebec,Females,Drowning,Number of potential years of life lost,8615.0
2003,Quebec,Females,Drowning,Number of potential years of life lost,8770.0
2004,Quebec,Females,Drowning,Number of potential years of life lost,8475.0
2005,Quebec,Females,Drowning,Number of potential years of life lost,8385.0
2006,Quebec,Females,Drowning,Number of potential years of life lost,7318.0
2007,Quebec,Females,Drowning,Number of potential years of life lost,6385.0
2008,Quebec,Females,Drowning,Number of potential years of life lost,8093.0
2009,Quebec,Females,Zombie attack,Number of potential years of life lost,6998.0
2000,Ontario,Both sexes,Unintentional injuries,Number of potential years of life lost,52239.0
2001,Ontario,Both sexes,Unintentional injuries,Number of potential years of life lost,52292.0
2002,Ontario,Both sexes,Automobile accident,Number of potential years of life lost,54936.0
2003,Ontario,Both sexes,Unintentional injuries,Number of potential years of life lost,54046.0
2004,Ontario,Both sexes,Unintentional injuries,Number of potential years of life lost,53241.0
2005,Ontario,Both sexes,Automobile accident,Number of potential years of life lost,57856.0
2006,Ontario,Both sexes,Unintentional injuries,Number of potential years of life lost,58565.0
2007,Ontario,Both sexes,Stroke,Number of potential years of life lost,61099.0
2008,Ontario,Both sexes,Automobile accident,Number of potential years of life lost,54366.0
2009,Ontario,Both sexes,Unintentional injuries,Number of potential years of life lost,55037.0
2000,Ontario,Both sexes,Drowning,Number of potential years of life lost,29420.0
2001,Ontario,Both sexes,Drowning,Number of potential years of life lost,29763.0
2002,Ontario,Both sexes,Drowning,Number of potential years of life lost,28345.0
2003,Ontario,Both sexes,Drowning,Number of potential years of life lost,30028.0
2004,Ontario,Both sexes,Drowning,Number of potential years of life lost,31115.0
2005,Ontario,Both sexes,Drowning,Number of potential years of life lost,32690.0
2006,Ontario,Both sexes,Drowning,Number of potential years of life lost,30245.0
2007,Ontario,Both sexes,Drowning,Number of potential years of life lost,32240.0
2008,Ontario,Both sexes,Drowning,Number of potential years of life lost,29235.0
